measurement,sample,metabolite,isotopologue,natural_fraction,measured_fraction
54661.046884,HEK_Wt_QC1_1x_split2_inj1,fum,m1,0.04353045618707504,0.05341601009611139
2999.969697,HEK_Wt_QC2_1x_split1_v2_inj3,f6p,m0,0.9167859968156374,1.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,f6p,m1,0.06470865085166679,0.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj3,f6p,m2,0.018505352332695794,0.0
124213.3286,HEK_Wt_QC1_1x_split1_inj1,f6p,m0,0.9167859968156374,0.8968664969086978
9259.222074,HEK_Wt_QC1_1x_split1_inj1,f6p,m1,0.06470865085166679,0.06685503205819465
5024.459782,HEK_Wt_QC1_1x_split1_inj1,f6p,m2,0.018505352332695794,0.03627847103310763
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,acon-C,m0,0.9239846267790298,0.0
1241.234989,HEK_Wt_QC2_1x_split1_v2_inj4,acon-C,m1,0.06307424384971073,1.0
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,acon-C,m2,0.01294112937125928,0.0
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,dhap,m0,0.9652721529240239,NaN
0.0,HEK_Wt_QC3_1x_split1_v2_inj3,dhap,m1,0.03472784707597602,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,acon-C,m0,0.9239846267790298,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,acon-C,m1,0.06307424384971073,NaN
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,acon-C,m2,0.01294112937125928,NaN
10187404.75,HEK_Wt_QC2_1x_split1_inj2,akg,m0,0.9354667733386669,0.9325221647126165
729705.4479,HEK_Wt_QC2_1x_split1_inj2,akg,m1,0.05336266813340667,0.06679488256106615
4178.737965,HEK_Wt_QC2_1x_split1_inj2,akg,m2,0.010620531026551328,0.0003825081920779278
3282.227695,HEK_Wt_QC2_1x_split1_inj2,akg,m3,0.0005500275013750688,0.0003004445342393117
333298.4025,HEK_Wt_QC3_1x_split1_inj1,g6p,m0,0.9167859968156374,0.899385605816732
24613.210582,HEK_Wt_QC3_1x_split1_inj1,g6p,m1,0.06470865085166679,0.06641726196208476
12672.92857,HEK_Wt_QC3_1x_split1_inj1,g6p,m2,0.018505352332695794,0.03419713222118315
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,g6p,m0,0.9167859968156374,0.0
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,g6p,m1,0.06470865085166679,0.0
9691.566416,HEK_Wt_QC1_1x_split1_v2_inj3,g6p,m2,0.018505352332695794,1.0
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,g6p,m0,0.9167859968156374,0.0
0.0,HEK_Wt_QC1_1x_split1_v2_inj4,g6p,m1,0.06470865085166679,0.0
8884.45696,HEK_Wt_QC1_1x_split1_v2_inj4,g6p,m2,0.018505352332695794,1.0
169203.4499,HEK_Wt_QC2_1x_split1_inj1,dhap,m0,0.9652721529240239,0.9649616836195135
6143.875048,HEK_Wt_QC2_1x_split1_inj1,dhap,m1,0.03472784707597602,0.03503831638048652
28598.21538,HEK_Wt_QC1_1x_split2_inj2,s7p,m0,0.9241086500588265,0.9194707609126115
2504.693593,HEK_Wt_QC1_1x_split2_inj2,s7p,m1,0.07589134994117346,0.08052923908738856
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,akg,m0,0.9354667733386669,0.0
12031.649587,HEK_Wt_QC1_1x_split1_v2_inj3,akg,m1,0.05336266813340667,0.9207122004348963
0.0,HEK_Wt_QC1_1x_split1_v2_inj3,akg,m2,0.010620531026551328,0.0
1036.114239,HEK_Wt_QC1_1x_split1_v2_inj3,akg,m3,0.0005500275013750688,0.07928779956510365
90376633.33,HEK_Wt_QC2_1x_split1_inj1,cit,m0,0.9207720772077208,0.9111490759846231
7097092.161,HEK_Wt_QC2_1x_split1_inj1,cit,m1,0.06351635163516352,0.07155067329252175
1633508.8971000002,HEK_Wt_QC2_1x_split1_inj1,cit,m2,0.014791479147914793,0.016468528062676464
82498.348374,HEK_Wt_QC2_1x_split1_inj1,cit,m3,0.0009200920092009201,0.0008317226601787561
82631.01277,HEK_Wt_QC1_1x_split2_inj1,Pool_2pg_3pg,m0,0.9648983981089774,0.9391949834755401
5349.666667,HEK_Wt_QC1_1x_split2_inj1,Pool_2pg_3pg,m1,0.03510160189102272,0.06080501652445997
2211318.888,HEK_Wt_QC3_1x_split1_inj1,acon-C,m0,0.9239846267790298,0.935952582894845
102352.1526,HEK_Wt_QC3_1x_split1_inj1,acon-C,m1,0.06307424384971073,0.043321097699056656
48968.82857,HEK_Wt_QC3_1x_split1_inj1,acon-C,m2,0.01294112937125928,0.02072631940609842
96781.0486,HEK_Wt_QC2_1x_split1_v2_inj4,akg,m0,0.9354667733386669,0.9689920543781672
2030.334948,HEK_Wt_QC2_1x_split1_v2_inj4,akg,m1,0.05336266813340667,0.02032813717972373
0.0,HEK_Wt_QC2_1x_split1_v2_inj4,akg,m2,0.010620531026551328,0.0
1066.678571,HEK_Wt_QC2_1x_split1_v2_inj4,akg,m3,0.0005500275013750688,0.010679808442109166
134443.2232,HEK_Wt_QC1_1x_split2_inj1,ru5p,m0,0.9442482828796744,0.9461515152058898
